date,year,month,week_of_year,sarima_forecast,rf_forecast,ensemble_forecast,month_name
2026-07-13,2026,7,29,104802.00899051626,104346.31875,104574.16387025814,July
2026-07-20,2026,7,30,106066.64664146097,104915.52875,105491.08769573049,July
2026-07-27,2026,7,31,105283.47964548742,102938.58864285712,104111.03414417227,July
2026-08-03,2026,8,32,105162.78451164415,102932.44030952381,104047.61241058397,August
2026-08-10,2026,8,33,105171.25176707137,102927.05530952381,104049.1535382976,August
2026-08-17,2026,8,34,105060.39129835801,103032.86364285713,104046.62747060758,August
2026-08-24,2026,8,35,108033.83735690489,102961.23864285713,105497.53799988101,August
2026-08-31,2026,8,36,107108.58240587672,102742.19364285714,104925.38802436693,August
2026-09-07,2026,9,37,108893.57352267588,102892.88949999999,105893.23151133794,September
2026-09-14,2026,9,38,101783.73212032765,102700.24125,102241.98668516384,September
2026-09-21,2026,9,39,107127.15326771245,102923.82208333332,105025.48767552289,September
2026-09-28,2026,9,40,109965.25809674745,102367.3775,106166.31779837373,September
2026-10-05,2026,10,41,107216.24669095656,102707.06208333332,104961.65438714494,October
2026-10-12,2026,10,42,109525.80566212228,102614.51372619046,106070.15969415638,October
2026-10-19,2026,10,43,110480.37520852716,102598.23039285713,106539.30280069215,October
2026-10-26,2026,10,44,110859.52321547247,102652.302,106755.91260773623,October
2026-11-02,2026,11,45,114613.5388204242,101333.15699999999,107973.34791021209,November
2026-11-09,2026,11,46,109631.85261618393,101169.602,105400.72730809197,November
2026-11-16,2026,11,47,113980.45384190396,40233.887,77107.17042095198,November
2026-11-23,2026,11,48,110547.91346769159,34349.567,72448.74023384579,November
2026-11-30,2026,11,49,110855.43513667872,49056.982,79956.20856833935,November
2026-12-07,2026,12,50,102297.62473776782,66679.562,84488.59336888391,December
2026-12-14,2026,12,51,111361.52236945344,23933.722,67647.62218472672,December
2026-12-21,2026,12,52,111095.06149010433,12039.115,61567.08824505217,December
2026-12-28,2026,12,53,110684.24962108869,15916.325,63300.28731054434,December
2027-01-04,2027,1,1,109744.78184404012,94460.655,102102.71842202006,January
2027-01-11,2027,1,2,107823.00368572475,96189.875,102006.43934286237,January
2027-01-18,2027,1,3,107906.20038651054,96185.835,102046.01769325527,January
2027-01-25,2027,1,4,108301.848211802,95179.185,101740.51660590101,January
2027-02-01,2027,2,5,113331.66494556359,96788.035,105059.8499727818,February
2027-02-08,2027,2,6,111905.61248789911,98039.19,104972.40124394956,February
2027-02-15,2027,2,7,116067.90566165822,97049.84,106558.87283082912,February
2027-02-22,2027,2,8,116051.794095682,97804.095,106927.944547841,February
2027-03-01,2027,3,9,117777.40658098797,99575.51,108676.45829049399,March
2027-03-08,2027,3,10,113599.58492635461,99821.32,106710.45246317731,March
2027-03-15,2027,3,11,116518.72647921595,101042.5,108780.61323960798,March
2027-03-22,2027,3,12,115484.77359254532,101233.53,108359.15179627266,March
2027-03-29,2027,3,13,115950.41522819934,101068.36,108509.38761409967,March
2027-04-05,2027,4,14,117645.33840600055,101684.45833333331,109664.89836966693,April
2027-04-12,2027,4,15,111261.42062667945,101731.03333333333,106496.22698000638,April
2027-04-19,2027,4,16,114714.20907848993,101242.97333333333,107978.59120591162,April
2027-04-26,2027,4,17,32089.824073491065,102587.84333333332,67338.8337034122,April
2027-05-03,2027,5,18,26595.742856944133,102856.1050595238,64725.923958233965,May
2027-05-10,2027,5,19,115545.98447053137,102625.96622619047,109085.97534836092,May
2027-05-17,2027,5,20,113622.04279180357,102637.14789285715,108129.59534233036,May
2027-05-24,2027,5,21,32348.921943080903,102665.52122619048,67507.2215846357,May
2027-05-31,2027,5,22,28016.933151439378,103818.51833333334,65917.72574238636,May
2027-06-07,2027,6,23,104725.29991245415,103456.8175,104091.05870622708,June
2027-06-14,2027,6,24,107682.15853178433,103196.2175,105439.18801589217,June
2027-06-21,2027,6,25,102898.87920008806,100415.785,101657.33210004403,June
2027-06-28,2027,6,26,105403.0142923366,99343.445,102373.2296461683,June
2027-07-05,2027,7,27,111513.93286588983,94274.18,102894.05643294491,July
2027-07-12,2027,7,28,106241.87544718073,101400.8675,103821.37147359036,July
2027-07-19,2027,7,29,109415.88274310806,104346.31875,106881.10074655403,July
2027-07-26,2027,7,30,110972.95496777559,104915.52875,107944.24185888779,July
2027-08-02,2027,8,31,111215.41184916372,102973.37864285713,107094.39524601042,August
2027-08-09,2027,8,32,113759.96813234953,102932.44030952381,108346.20422093666,August
2027-08-16,2027,8,33,113283.96395545105,102927.05530952381,108105.50963248743,August
2027-08-23,2027,8,34,113186.88337698653,103032.86364285713,108109.87350992183,August
2027-08-30,2027,8,35,114013.6543275958,102961.23864285713,108487.44648522646,August
2027-09-06,2027,9,36,115422.21547613863,102732.35864285713,109077.28705949787,September
2027-09-13,2027,9,37,111894.10190226101,102892.88949999999,107393.49570113051,September
2027-09-20,2027,9,38,117819.76128978824,102700.24125,110260.00126989413,September
2027-09-27,2027,9,39,117252.73506558403,102923.82208333332,110088.27857445867,September
2027-10-04,2027,10,40,115589.86021723114,102474.12883333332,109031.99452528224,October
2027-10-11,2027,10,41,116474.69482882362,102707.06208333332,109590.87845607847,October
2027-10-18,2027,10,42,116452.67093024605,102614.51372619046,109533.59232821825,October
2027-10-25,2027,10,43,118395.29790587499,102598.23039285713,110496.76414936606,October
2027-11-01,2027,11,44,118102.19342883294,102001.377,110051.78521441646,November
2027-11-08,2027,11,45,118570.44304366861,101333.15699999999,109951.8000218343,November
2027-11-15,2027,11,46,118576.4897325905,101169.602,109873.04586629526,November
2027-11-22,2027,11,47,115787.26618243528,40233.887,78010.57659121764,November
2027-11-29,2027,11,48,105242.05294650898,34349.567,69795.8099732545,November
2027-12-06,2027,12,49,114135.45620824254,69346.067,91740.76160412128,December
2027-12-13,2027,12,50,118861.4465866886,66679.562,92770.5042933443,December
2027-12-20,2027,12,51,119468.01111872768,23933.722,71700.86655936384,December
2027-12-27,2027,12,52,116043.10391305659,12039.115,64041.1094565283,December
2028-01-03,2028,1,1,116091.3486302054,94460.655,105276.0018151027,January
2028-01-10,2028,1,2,116593.65268894119,96189.875,106391.7638444706,January
2028-01-17,2028,1,3,116699.06297593974,96185.835,106442.44898796987,January
2028-01-24,2028,1,4,116204.43182299359,95179.185,105691.8084114968,January
2028-01-31,2028,1,5,116490.97522858588,95683.56,106087.26761429294,January
2028-02-07,2028,2,6,113989.31151146405,98039.19,106014.25075573204,February
2028-02-14,2028,2,7,119522.02786158916,97049.84,108285.93393079458,February
2028-02-21,2028,2,8,121380.33749333856,97804.095,109592.21624666928,February
2028-02-28,2028,2,9,123771.32322919197,99124.4,111447.86161459598,February
2028-03-06,2028,3,10,121200.1062272036,99821.32,110510.71311360181,March
2028-03-13,2028,3,11,121563.83270994738,101042.5,111303.16635497368,March
2028-03-20,2028,3,12,122358.2681731708,101233.53,111795.8990865854,March
2028-03-27,2028,3,13,122578.86256961552,101068.36,111823.61128480776,March
2028-04-03,2028,4,14,124047.67148494441,101684.45833333331,112866.06490913886,April
2028-04-10,2028,4,15,120743.34357652215,101731.03333333333,111237.18845492773,April
2028-04-17,2028,4,16,122299.04408478375,101242.97333333333,111771.00870905854,April
2028-04-24,2028,4,17,90927.94922682243,102587.84333333332,96757.89628007787,April
2028-05-01,2028,5,18,79174.61377498796,102856.1050595238,91015.35941725588,May
2028-05-08,2028,5,19,121645.93028200736,102625.96622619047,112135.94825409891,May
2028-05-15,2028,5,20,123597.305977919,102637.14789285715,113117.22693538807,May
2028-05-22,2028,5,21,92115.84664033703,102665.52122619048,97390.68393326376,May
2028-05-29,2028,5,22,85690.40750812559,103818.51833333334,94754.46292072946,May
2028-06-05,2028,6,23,104804.0065144026,103456.8175,104130.4120072013,June
2028-06-12,2028,6,24,116406.76094596312,103196.2175,109801.48922298156,June
2028-06-19,2028,6,25,111575.8786091066,100415.785,105995.83180455331,June
2028-06-26,2028,6,26,114041.0657880422,99343.445,106692.25539402111,June
2028-07-03,2028,7,27,117792.93088996083,94274.18,106033.55544498042,July
2028-07-10,2028,7,28,117646.85161782586,101400.8675,109523.85955891293,July
2028-07-17,2028,7,29,119265.10615419777,104346.31875,111805.71245209889,July
2028-07-24,2028,7,30,118915.35345625303,104915.52875,111915.4411031265,July
2028-07-31,2028,7,31,118861.91438511097,102938.58864285712,110900.25151398405,July
2028-08-07,2028,8,32,119340.06748974956,102932.44030952381,111136.25389963668,August
2028-08-14,2028,8,33,119161.58209510263,102927.05530952381,111044.31870231322,August
2028-08-21,2028,8,34,121566.36400375352,103032.86364285713,112299.61382330532,August
2028-08-28,2028,8,35,120965.58574279575,102961.23864285713,111963.41219282645,August
2028-09-04,2028,9,36,122680.86170867794,102732.35864285713,112706.61017576754,September
2028-09-11,2028,9,37,116234.35935253267,102892.88949999999,109563.62442626632,September
2028-09-18,2028,9,38,121685.6115181788,102700.24125,112192.9263840894,September
2028-09-25,2028,9,39,123893.08317428053,102923.82208333332,113408.45262880693,September
2028-10-02,2028,10,40,121345.22518453933,102474.12883333332,111909.67700893633,October
2028-10-09,2028,10,41,123390.92399015333,102707.06208333332,113048.99303674333,October
2028-10-16,2028,10,42,124164.6275982886,102614.51372619046,113389.57066223954,October
2028-10-23,2028,10,43,124833.3332426404,102598.23039285713,113715.78181774876,October
2028-10-30,2028,10,44,127837.81875942656,102652.302,115245.06037971328,October
2028-11-06,2028,11,45,123865.46531334757,101333.15699999999,112599.31115667378,November
2028-11-13,2028,11,46,127409.82173810122,101169.602,114289.7118690506,November
2028-11-20,2028,11,47,124096.42418794276,40233.887,82165.15559397137,November
2028-11-27,2028,11,48,122394.01010377328,34349.567,78371.78855188664,November
2028-12-04,2028,12,49,117068.17934684404,69346.067,93207.12317342202,December
2028-12-11,2028,12,50,125328.69285843876,66679.562,96004.12742921938,December
2028-12-18,2028,12,51,125223.91702927632,23933.722,74578.81951463816,December
2028-12-25,2028,12,52,124254.89213528174,12039.115,68147.00356764087,December
2029-01-01,2029,1,1,123498.34955389312,94460.655,108979.50227694656,January
2029-01-08,2029,1,2,122025.5134879932,96189.875,109107.69424399661,January
2029-01-15,2029,1,3,122112.82416387615,96185.835,109149.32958193807,January
2029-01-22,2029,1,4,122343.59156369686,95179.185,108761.38828184843,January
2029-01-29,2029,1,5,126494.95003483514,95683.56,111089.25501741757,January
2029-02-05,2029,2,6,124869.69345527672,98039.19,111454.44172763836,February
2029-02-12,2029,2,7,129285.79016918177,97049.84,113167.81508459088,February
2029-02-19,2029,2,8,129616.82300641746,97804.095,113710.45900320873,February
2029-02-26,2029,2,9,131465.66318475993,99124.4,115295.03159237996,February
2029-03-05,2029,3,10,127585.38608095467,99821.32,113703.35304047735,March
2029-03-12,2029,3,11,130031.26258509,101042.5,115536.881292545,March
2029-03-19,2029,3,12,129335.9287789834,101233.53,115284.7293894917,March
2029-03-26,2029,3,13,129756.1874571051,101068.36,115412.27372855255,March
2029-04-02,2029,4,14,131409.23408080047,101684.45833333331,116546.84620706689,April
2029-04-09,2029,4,15,125595.65897001507,101731.03333333333,113663.3461516742,April
2029-04-16,2029,4,16,128697.10511797042,101242.97333333333,114970.03922565188,April
2029-04-23,2029,4,17,55564.87312656817,102587.84333333332,79076.35822995074,April
2029-04-30,2029,4,18,48911.5726914715,102857.30958333332,75884.4411374024,April
2029-05-07,2029,5,19,129253.87776570002,102625.96622619047,115939.92199594525,May
2029-05-14,2029,5,20,128047.64816732444,102637.14789285715,115342.39803009079,May
2029-05-21,2029,5,21,55995.9854632215,102665.52122619048,79330.753344706,May
2029-05-28,2029,5,22,51276.28788445531,103818.51833333334,77547.40310889433,May
2029-06-04,2029,6,23,117318.05457468165,103456.8175,110387.43603734083,June
2029-06-11,2029,6,24,121876.14046652181,103196.2175,112536.1789832609,June
2029-06-18,2029,6,25,117084.0450177023,100415.785,108749.91500885115,June
2029-06-25,2029,6,26,119580.96692321362,99343.445,109462.20596160681,June
2029-07-02,2029,7,27,125254.98678342043,94274.18,109764.58339171021,July
2029-07-09,2029,7,28,120932.26488584658,101400.8675,111166.56619292329,July
2029-07-16,2029,7,29,123818.14544488228,104346.31875,114082.23209744114,July
2029-07-23,2029,7,30,125022.07206887423,104915.52875,114968.80040943711,July
2029-07-30,2029,7,31,125209.72876768945,102938.58864285712,114074.1587052733,July
2029-08-06,2029,8,32,127371.58542120697,102932.44030952381,115152.0128653654,August
2029-08-13,2029,8,33,126950.68197632878,102927.05530952381,114938.8686429263,August
2029-08-20,2029,8,34,127316.94846258048,103032.86364285713,115174.90605271881,August
2029-08-27,2029,8,35,127879.33608264137,102961.23864285713,115420.28736274925,August
2029-09-03,2029,9,36,129344.7010767397,102732.35864285713,116038.52985979841,September
2029-09-10,2029,9,37,125276.09941331747,102892.88949999999,114084.49445665872,September
2029-09-17,2029,9,38,131113.8981790596,102700.24125,116907.06971452979,September
2029-09-24,2029,9,39,131060.711326732,102923.82208333332,116992.26670503266,September
2029-10-01,2029,10,40,129233.93684640598,102474.12883333332,115854.03283986964,October
2029-10-08,2029,10,41,130333.76449602674,102707.06208333332,116520.41328968003,October
2029-10-15,2029,10,42,130459.11000981621,102614.51372619046,116536.81186800334,October
2029-10-22,2029,10,43,132165.80566924915,102598.23039285713,117382.01803105314,October
2029-10-29,2029,10,44,132483.41766929027,102652.302,117567.85983464513,October
2029-11-05,2029,11,45,132129.26381293565,101333.15699999999,116731.21040646781,November
2029-11-12,2029,11,46,132790.60848030265,101169.602,116980.10524015132,November
2029-11-19,2029,11,47,129904.30745864255,40233.887,85069.09722932128,November
2029-11-26,2029,11,48,120996.78816150878,34349.567,77673.17758075439,November
2029-12-03,2029,12,49,127256.77716526836,69346.067,98301.42208263418,December
2029-12-10,2029,12,50,132637.36424011565,66679.562,99658.46312005783,December
2029-12-17,2029,12,51,133112.18793105162,23933.722,78522.95496552582,December
2029-12-24,2029,12,52,130142.11222242085,12039.115,71090.61361121043,December
2029-12-31,2029,12,1,130041.30964603588,95511.885,112776.59732301794,December
2030-01-07,2030,1,2,130177.81607046274,96189.875,113183.84553523138,January
2030-01-14,2030,1,3,130279.87429405809,96185.835,113232.85464702905,January
2030-01-21,2030,1,4,129919.58757127341,95179.185,112549.3862856367,January
2030-01-28,2030,1,5,130921.89802062372,95683.56,113302.72901031186,January
2030-02-04,2030,2,6,128582.54565225811,98039.19,113310.86782612905,February
2030-02-11,2030,2,7,133908.4630941652,97049.84,115479.1515470826,February
2030-02-18,2030,2,8,135483.9197620161,97804.095,116644.00738100805,February
2030-02-25,2030,2,9,137774.49967859875,99124.4,118449.44983929937,February
2030-03-04,2030,3,10,134960.84363016492,99821.32,117391.08181508246,March
2030-03-11,2030,3,11,135710.1860712913,101042.5,118376.34303564565,March
2030-03-18,2030,3,12,136228.71499624438,101233.53,118731.12249812219,March
2030-03-25,2030,3,13,136486.2873878108,101068.36,118777.3236939054,March
2030-04-01,2030,4,14,137989.21728373764,101684.45833333331,119836.83780853548,April
2030-04-08,2030,4,15,134220.17465504204,101731.03333333333,117975.60399418768,April
2030-04-15,2030,4,16,136062.14857306876,101242.97333333333,118652.56095320104,April
2030-04-22,2030,4,17,96956.85552889938,102587.84333333332,99772.34943111635,April
2030-04-29,2030,4,18,86148.05090844557,102857.30958333332,94502.68024588944,April
2030-05-06,2030,5,19,135633.10677199866,102625.96622619047,119129.53649909457,May
2030-05-13,2030,5,20,136999.69127647788,102637.14789285715,119818.41958466751,May
2030-05-20,2030,5,21,98004.59570124242,102665.52122619048,100335.05846371644,May
2030-05-27,2030,5,22,91895.06135837235,103818.51833333334,97856.78984585285,May
2030-06-03,2030,6,23,119699.79701218639,103456.8175,111578.30725609319,June
2030-06-10,2030,6,24,129997.87282668139,103196.2175,116597.04516334069,June
2030-06-17,2030,6,25,125174.17385454373,100415.785,112794.97942727187,June
2030-06-24,2030,6,26,127645.23833188569,99343.445,113494.34166594285,June
2030-07-01,2030,7,27,131753.08813311128,94274.18,113013.63406655563,July
2030-07-08,2030,7,28,130833.4910873848,101400.8675,116117.1792936924,July
2030-07-15,2030,7,29,132686.51104343263,104346.31875,118516.41489671632,July
2030-07-22,2030,7,30,132624.50107996553,104915.52875,118770.01491498276,July
2030-07-29,2030,7,31,132615.71315088283,102938.58864285712,117777.15089686998,July
2030-08-05,2030,8,32,133405.68958763618,102932.44030952381,118169.06494858,August
2030-08-12,2030,8,33,133182.3081634963,102927.05530952381,118054.68173651004,August
2030-08-19,2030,8,34,135209.55527868363,103032.86364285713,119121.20946077039,August
2030-08-26,2030,8,35,134824.19633014753,102961.23864285713,118892.71748650234,August
2030-09-02,2030,9,36,136493.1885710797,102732.35864285713,119612.7736069684,September
2030-09-09,2030,9,37,130487.07544968819,102892.88949999999,116689.98247484409,September
2030-09-16,2030,9,38,136009.91637508947,102700.24125,119355.07881254473,September
2030-09-23,2030,9,39,137798.71214888318,102923.82208333332,120361.26711610824,September
2030-09-30,2030,9,40,135384.39943959742,102367.3775,118875.88846979871,September
2030-10-07,2030,10,41,137254.92210104433,102707.06208333332,119980.99209218883,October
2030-10-14,2030,10,42,137908.54923757206,102614.51372619046,120261.53148188126,October
2030-10-21,2030,10,43,138769.49151729827,102598.23039285713,120683.8609550777,October
2030-10-28,2030,10,44,141276.36576901333,102652.302,121964.33388450666,October
2030-11-04,2030,11,45,137974.10597040298,101333.15699999999,119653.63148520148,November
2030-11-11,2030,11,46,140984.52616076847,101169.602,121077.06408038424,November
2030-11-18,2030,11,47,137750.22725166215,40233.887,88992.05712583108,November
2030-11-25,2030,11,48,134713.42154181725,34349.567,84531.49427090863,November
2030-12-02,2030,12,49,131533.29447807357,69346.067,100439.68073903679,December
2030-12-09,2030,12,50,139260.44315929187,66679.562,102970.00257964594,December
2030-12-16,2030,12,51,139263.00965518988,23933.722,81598.36582759494,December
2030-12-23,2030,12,52,137923.38844501702,12039.115,74981.2517225085,December
